"Key            Name:Suffix                                Trend Definitions Used"
"Point_84:","CH.R1N-1-1.CONSUMPTION","","15 minutes"
"Point_85:","CH.R1N-1-2.CONSUMPTION","","15 minutes"
"Point_86:","CH.R1N-1-9.CONSUMPTION","","15 minutes"
"Point_87:","CH.R1N-2-1.CONSUMPTION","","15 minutes"
"Point_88:","CH.R1N-2-2.CONSUMPTION","","15 minutes"
"Point_89:","CH.R1N-2-3.CONSUMPTION","","15 minutes"
"Point_90:","CH.R1N-3-1.CONSUMPTION","","15 minutes"
"Point_91:","CH.R1N-3-2.CONSUMPTION","","15 minutes"
"Point_92:","CH.R1N-3-3.CONSUMPTION","","15 minutes"
"Point_93:","CH.R1N-4-1.CONSUMPTION","","15 minutes"
"Point_94:","CH.R1N-4-2.CONSUMPTION","","15 minutes"
"Point_95:","CH.R1N-4-3.CONSUMPTION","","15 minutes"
"Point_96:","ACDIN.COND","","15 minutes"
"Point_97:","BOLIOU.COND","","15 minutes"
"Point_98:","CH.COND","","15 minutes"
"Point_99:","CHAPEL.COND","","15 minutes"
"Point_100:","CMC.COND","","15 minutes"
"Point_101:","FACCLUB.COND","","15 minutes"
"Point_102:","GOODSELL.COND","","15 minutes"
"Point_103:","HULINGS.COND","","15 minutes"
"Point_104:","LAIRD.COND","","15 minutes"
"Point_105:","LEIGHTON.COND","","15 minutes"
"Point_106:","OLDMUSIC.COND","","15 minutes"
"Point_107:","OLIN.COND","","15 minutes"
"Point_108:","SS.COND","","15 minutes"
"Point_109:","WILLIS.COND","","15 minutes"
"Point_110:","ACDIN.ELEC","","15 minutes"
"Point_111:","ARBOFFICE.ELEC","","15 minutes"
"Point_112:","ARTSTUDIO.ELEC","","15 minutes"
"Point_113:","BOLIOU.ELEC","","15 minutes"
"Point_114:","CHAPEL.ELEC","","15 minutes"
"Point_115:","CMC.ELEC","","15 minutes"
"Point_116:","FACCLUB.ELEC","","15 minutes"
"Point_117:","FARM.ELEC","","15 minutes"
"Point_118:","GENERATOR.ELEC","","15 minutes"
"Point_119:","GOODSELL.ELEC","","15 minutes"
"Point_120:","GROUNDS.ELEC","","15 minutes"
"Point_121:","LAIRD.ELEC","","15 minutes"
"Point_122:","LEIGHTON.ELEC","","15 minutes"
"Point_123:","PARR.ELEC","","15 minutes"
"Point_124:","SCOVILLE.ELEC","","15 minutes"
"Point_125:","WAREHOUSE.ELEC","","15 minutes"
"Point_126:","WATERTOWER.ELEC","","15 minutes"
"Point_127:","WILLIS.ELEC","","15 minutes"
"Time Interval:","15 Minutes"
"Date Range:","1/18/2018 14:00:10 - 1/18/2018 15:00:10"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12","Point_13","Point_14","Point_15","Point_16","Point_17","Point_18","Point_19","Point_20","Point_21","Point_22","Point_23","Point_24","Point_25","Point_26","Point_27","Point_28","Point_29","Point_30","Point_31","Point_32","Point_33","Point_34","Point_35","Point_36","Point_37","Point_38","Point_39","Point_40","Point_41","Point_42","Point_43","Point_44","Point_45","Point_46","Point_47","Point_48","Point_49","Point_50","Point_51","Point_52","Point_53","Point_54","Point_55","Point_56","Point_57","Point_58","Point_59","Point_60","Point_61","Point_62","Point_63","Point_64","Point_65","Point_66","Point_67","Point_68","Point_69","Point_70","Point_71","Point_72","Point_73","Point_74","Point_75","Point_76","Point_77","Point_78","Point_79","Point_80","Point_81","Point_82","Point_83","Point_84","Point_85","Point_86","Point_87","Point_88","Point_89","Point_90","Point_91","Point_92","Point_93","Point_94","Point_95","Point_96","Point_97","Point_98","Point_99","Point_100","Point_101","Point_102","Point_103","Point_104","Point_105","Point_106","Point_107","Point_108","Point_109","Point_110","Point_111","Point_112","Point_113","Point_114","Point_115","Point_116","Point_117","Point_118","Point_119","Point_120","Point_121","Point_122","Point_123","Point_124","Point_125","Point_126","Point_127"
"1/18/2018","14:00:10","180065.41","2.11461e+010","0","187346.14","91283.00","48248224","8693.28","12042562.0","8993809.00","3786892","447.99","180882.33","17592610","721.50","313992.75","57022316","582.80","2450647.25","856097152","1497.17","2202954.0000","726903936","11253.37","6376109.00","14023011","1336.61","460367.09","13506512","321.81","95940.84","386158.22","9152746","45.78","27619616","1533760.0000","1132392.88","3318821.00","19652130","637.92","433759.91","45172104","117.52","13336991","1532.94","1109196.63","1298454.00","81653520","538.44","145892.16","34735572","727.88","8295091.50","2.09494e+007","3501894.0000","2875685.75","25648558","1277.32","6438940.0000","7076.90","0.00","3012878.00","1795022.25","0.00","20163.84","7333.91","10371.82","28929.22","11201.97","19314.00","8246.84","6198.88","18291.01","11402.65","21066.78","6645.68","7318.16","18024.47","14116.11","11197.71","17207.51","16851.28","15723.57","25340.84","24450.00","8432.50","16694.40","52088.30","54916.79","49209.00","36026.20","37521.71","24086.04","18943.76","29437.96","3806.12","858600.0000","687240.0000","124750.0000","1.0000","No Data","976196.0000","329590.0000","999650.0000","110150.0000","307380.0000","372950.0000","1566400.0000","16397670.0000","60330","371683.38","6586.13","6408.30","114617.43","940288.0000","2081847.3750","36382.2656","1285.02","53319.03","16992.3184","6411.12","133752.0000","150747.0000","8658.1406","251416.0000","22020.67","7157.96","379514.0000"
"1/18/2018","14:15:10","180414.47","2.11461e+010","0","187358.14","91289.00","48248372","8820.32","12043087.0","8993816.00","3786892","449.54","180887.33","17592640","729.94","314005.84","57022336","589.51","2450655.25","856097152","1681.66","2203003.5000","726904000","11436.39","6376133.00","14023071","1365.33","460379.81","13506522","321.89","95942.45","386179.00","9152815","45.92","27619628","1533870.0000","1132419.25","3318840.00","19652170","644.94","433793.13","45172148","117.57","13336993","1560.96","1109208.63","1298460.00","81653584","541.92","145901.91","34735624","814.72","8295154.00","2.0958e+007","3502180.0000","2875701.75","25648558","1294.04","6439168.0000","7076.90","0.00","3012886.50","1795027.25","0.00","20163.91","7333.91","10371.82","28929.25","11201.97","19314.00","8246.84","6198.91","18291.01","11402.65","21066.81","6645.70","7318.16","18024.47","14116.13","11197.71","17207.53","16851.34","15723.57","25340.85","24450.00","8432.50","16694.40","52088.30","54916.55","49209.00","36026.20","37521.95","24086.16","18943.76","29437.96","3806.12","858680.0000","687250.0000","124760.0000","1.0000","No Data","976196.0000","329590.0000","999690.0000","110160.0000","307390.0000","372950.0000","1566430.0000","16397670.0000","60330","371715.59","6586.52","6408.64","114626.55","940296.0000","2081892.1250","36383.1445","1285.02","53323.72","16993.1191","6411.76","133760.0000","150761.0000","8658.3164","251418.0000","22022.42","7158.40","379520.0000"
"1/18/2018","14:30:10","180738.03","2.11461e+010","0","187369.95","91295.00","48248504","8950.08","12043623.0","8993823.00","3786893","458.85","180892.33","17592650","820.96","314018.81","57022368","662.58","2450666.25","856097152","1700.51","2203053.0000","726904000","11612.90","6376158.00","14023121","1393.27","460392.53","13506533","321.98","95944.05","386201.41","9152850","51.17","27619650","1533910.0000","1132445.63","3318859.00","19652230","650.87","433823.75","45172192","117.63","13336995","1770.83","1109218.63","1298466.00","81653624","542.20","145911.98","34735700","824.23","8295220.50","2.09654e+007","3502521.0000","2875718.75","25648558","1310.95","6439178.0000","7076.90","0.00","3012897.00","1795032.50","0.00","20163.98","7333.91","10371.82","28929.28","11201.98","19314.00","8246.84","6198.92","18291.01","11402.75","21066.82","6645.71","7318.16","18024.49","14116.16","11197.71","17207.56","16851.39","15723.57","25340.85","24450.00","8432.50","16694.40","52088.30","54916.93","49209.50","36026.20","37522.07","24086.32","18943.76","29437.96","3806.16","858750.0000","687260.0000","124770.0000","1.0000","No Data","976196.0000","329590.0000","999730.0000","110160.0000","307390.0000","372960.0000","1566450.0000","16397670.0000","60340","371746.38","6586.91","6408.91","114635.84","940302.0000","2081930.5000","36384.1094","1285.02","53329.88","16994.0781","6412.46","133766.3906","150773.0000","8658.4727","251422.0000","22024.59","7158.83","379526.0000"
"1/18/2018","14:45:10","181005.73","2.11461e+010","0","187381.75","91301.00","48248576","9075.25","12044156.0","8993831.00","3786893","518.73","180897.33","17592660","830.69","314032.09","57022468","670.96","2450677.25","856097152","1718.68","2203100.5000","726904000","11802.06","6376184.00","14023181","1420.54","460405.50","13506536","322.06","95946.45","386222.22","9152850","51.33","27619736","1534010.0000","1132473.63","3318878.00","19652310","653.82","433854.34","45172240","130.76","13337009","1800.07","1109225.63","1298471.00","81653664","542.52","145921.75","34735824","833.31","8295285.00","2.09741e+007","3502818.0000","2875735.75","25648558","1327.93","6439194.0000","7197.90","0.00","3012907.25","1795038.00","0.00","20164.04","7333.91","10371.82","28929.30","11202.00","19314.00","8246.85","6198.92","18291.02","11402.75","21066.82","6645.73","7318.16","18024.53","14116.18","11197.71","17207.58","16851.42","15723.57","25340.86","24450.00","8432.50","16694.40","52088.72","54916.81","49209.50","36026.28","37522.19","24086.44","18943.76","29438.00","3806.16","858780.0000","687260.0000","124770.0000","1.0000","No Data","976196.0000","329590.0000","999770.0000","110170.0000","307400.0000","372960.0000","1566460.0000","16397670.0000","60350","371780.06","6587.47","6409.21","114646.39","940308.0000","2081981.7500","36385.1523","1285.02","53334.22","16995.1992","6413.14","133772.7969","150785.0000","8658.6094","251424.0000","22026.36","7159.26","379530.0000"
" ******************************** End of Report *********************************"
