Date Range:,8/18/2017 00:00:00 - 10/16/2017 23:59:59

Date,Time,BV104:AIR VOLUME,BIE03P,BIE01:FREQ OUTPUT,BV104:CLG FLOW MIN,BVB17:AIR VOLUME,BIE21P,BH111A:EXH FLOW,BIOAT27,BI1RRT,BVB39:CTL STPT,BIE03C,BI2SAT,BVB02B:CLG FLOW MAX,BV104:CLG FLOW MAX,BIE20C,BV204:CTL FLOW MIN,BI2CCT,BI1CFM,BI3RRT,BIE25P,BIE03:FREQ OUTPUT,BI.LAB.HW.TEMP,BVB02B:CLG FLOW MIN,BI3DSC,BIE19C,BI1VFD:FREQ OUTPUT,BI2HT1,BIE01P,BI3SAC,BI1CCT,BV204:CTL FLOW MAX,BI3SAT,BVB02B:CTL TEMP,BV204:AIR VOLUME,BIE20P,BI2RRT,BI1HRT,BI2HT2,BV204:CLG FLOW MAX,BV108A:CLG FLOW MIN,BV108A:CLG FLOW MAX,BVB39:CTL TEMP,BI2CFM,BI2DSP,BIE01C,BIA2VFD:FREQ OUTPUT,BI1DSP,BI2HRT,BIHRRT,BIE23P,BV108A:CTL TEMP,BIE20:FREQ OUTPUT,BH111A:FLOW HI STPT,BI1RRC,BV104:CTL FLOW MIN,BI2RRC,BV108A:AIR VOLUME,BH111A:FLOW LO STPT,BI3HT2,BI2HRC,BI3RRC,BH111A:FLOW STPT,BI3HT1,BI1SAT,BVB39:AIR VOLUME,BIHRST,BI1DSC,BIE21C,BVB02B:CTL STPT,BI1HMC,BV104:CTL TEMP,BV108A:CTL STPT,BV104:CTL STPT,BV204:CLG FLOW MIN,BI2PHT,BIE19P,BV104:CTL FLOW MAX,BI2SAC,BI3DSP,BI1SAC,BI3HRT,BI2DSC,BV204:CTL STPT,BV204:CTL TEMP,BIE25C,BI1OCC,BIE19:FREQ OUTPUT,BVB17:CTL STPT
8/18/2017,02:30:00,151.08,50.75,8146.56,1.50,1.49,35.00,63.15,ON,32.00,83.42,55.00,55.41,52.8,82.31,81.77,62.39,2200,220,70.00,72.25,516,75.50,264,79.50,73.75,52.43,16497.54,1.50,1.51,55.00,62.79,64.87,63.13,63.77,32.00,84.79,55.00,54.87,43.2,1.21,1633.411621,1727.646973,596.823486,1727.646973,1.20,1.22,64.52,65.18,63.57,32.00,83.28,55.00,54.95,57.4,1.20,1.20,33.7,1.20,1.20,41.1,1.25,1.25,33.1,1.20,1.19,1.20,1.17,2.00,1.51,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,0,288,84,288,0,80.00,71.75
8/18/2017,02:45:00,149.12,50.74,7977.29,1.50,1.50,35.00,63.12,ON,32.00,83.35,55.00,55.38,52.6,82.31,81.77,62.30,2200,220,70.00,71.00,508,75.50,264,79.50,73.75,52.93,16474.42,1.50,1.50,55.00,62.65,64.87,62.99,63.84,32.00,84.75,55.00,55.27,43.1,1.20,1586.294067,1727.646973,596.823486,1727.646973,1.20,1.20,64.34,65.03,63.39,32.00,83.21,55.00,55.09,57.4,1.20,1.21,33.7,1.20,1.21,41.1,1.25,1.25,33.1,1.20,1.17,1.20,1.19,2.00,1.50,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,4,288,84,288,0,80.00,71.75
8/18/2017,03:00:00,150.25,50.39,8063.31,1.50,1.50,35.00,63.37,ON,32.00,83.31,55.00,55.05,52.7,82.27,81.77,62.27,2200,220,70.00,73.50,508,75.50,268,79.50,73.75,52.64,16497.54,1.50,1.51,55.00,62.76,65.16,62.99,63.98,32.00,84.75,55.00,54.87,43.1,1.22,1601.999878,1727.646973,596.823486,1727.646973,1.20,1.20,64.49,65.14,63.46,32.00,83.21,55.00,54.84,57.4,1.20,1.19,33.7,1.20,1.20,41.1,1.25,1.25,33.1,1.20,1.21,1.20,1.17,2.00,1.53,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,0,288,84,288,0,80.00,71.75
8/18/2017,03:15:00,150.03,50.23,8001.96,1.50,1.50,35.00,63.15,ON,32.00,83.31,55.00,54.95,52.7,82.23,81.77,62.05,2200,220,70.00,71.25,508,75.50,264,79.50,73.50,52.64,16369.96,1.50,1.52,55.00,62.79,64.94,62.92,63.84,32.00,84.68,55.00,54.87,43.1,1.20,1586.294067,1727.646973,596.823486,1727.646973,1.20,1.20,64.31,64.92,63.36,32.00,83.17,55.00,55.02,57.4,1.20,1.21,33.7,1.20,1.20,41.1,1.25,1.26,33.0,1.20,1.20,1.20,1.21,2.00,1.51,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,4,288,84,288,0,80.00,71.75
8/18/2017,03:30:00,148.87,49.73,7904.73,1.50,1.51,35.00,62.04,ON,32.00,83.24,55.00,54.48,52.7,82.27,81.77,62.05,2200,220,70.00,71.50,516,75.50,264,79.50,73.50,52.50,16532.16,1.50,1.50,55.00,61.50,64.08,61.91,62.54,32.00,84.68,55.00,54.98,43.1,1.21,1586.294067,1727.646973,596.823486,1727.646973,1.20,1.21,63.33,64.06,62.56,32.00,83.17,55.00,54.95,57.4,1.20,1.21,33.7,1.20,1.21,41.1,1.25,1.25,33.0,1.20,1.17,1.20,1.17,2.00,1.53,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,0,288,84,288,0,80.00,71.75
8/18/2017,03:45:00,151.03,50.11,7961.12,1.50,1.50,35.00,61.43,ON,32.00,83.21,55.00,54.77,52.7,82.23,81.77,61.06,2200,220,70.00,71.50,504,75.50,264,79.50,73.50,52.75,16364.14,1.50,1.49,55.00,60.78,63.04,61.12,62.00,32.00,84.68,55.00,55.05,43.1,1.20,1586.294067,1727.646973,596.823486,1727.646973,1.20,1.20,62.72,63.38,61.88,32.00,83.17,55.00,55.02,57.4,1.20,1.21,33.7,1.20,1.21,41.4,1.25,1.23,33.0,1.20,1.18,1.20,1.17,2.00,1.53,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,4,288,84,288,0,80.00,71.75
8/18/2017,04:00:00,149.27,50.48,7863.38,1.50,1.50,35.00,61.21,ON,32.00,83.17,55.00,55.13,52.8,82.23,81.77,60.43,2200,220,70.00,71.25,508,75.50,264,79.50,73.50,53.18,16704.21,1.50,1.48,55.00,60.60,63.04,60.68,61.64,32.00,84.68,55.00,55.34,43.1,1.20,1586.294067,1727.646973,596.823486,1727.646973,1.20,1.20,62.43,63.12,61.59,32.00,83.17,55.00,55.05,57.4,1.20,1.19,33.7,1.20,1.20,41.6,1.25,1.25,33.0,1.20,1.18,1.20,1.19,2.00,1.51,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,4,288,84,288,0,80.00,71.75
8/18/2017,04:15:00,150.27,50.29,7960.17,1.50,1.50,35.00,61.14,ON,32.00,83.10,55.00,55.02,52.7,82.23,81.77,60.27,2200,220,70.00,72.00,512,75.50,264,79.50,73.50,53.00,16410.66,1.50,1.50,55.00,60.67,62.78,61.01,61.71,32.00,84.61,55.00,55.23,43.1,1.19,1617.705811,1727.646973,596.823486,1727.646973,1.20,1.21,62.43,63.05,61.52,32.00,83.13,55.00,55.05,57.4,1.20,1.20,33.7,1.20,1.20,41.3,1.25,1.25,33.0,1.20,1.20,1.20,1.19,2.00,1.53,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,4,288,84,288,0,80.00,71.75
8/18/2017,04:30:00,150.69,50.38,8092.40,1.50,1.50,35.00,61.14,ON,32.00,83.06,55.00,55.02,52.7,82.16,81.69,60.25,2200,220,70.00,71.75,504,75.50,264,79.50,73.25,52.71,16480.21,1.50,1.52,55.00,60.71,63.04,60.94,61.61,32.00,84.61,55.00,54.95,43.1,1.21,1617.705811,1727.646973,596.823486,1727.646973,1.20,1.20,62.43,63.09,61.52,32.00,83.06,55.00,55.09,57.4,1.20,1.21,33.7,1.20,1.21,41.1,1.25,1.26,33.0,1.20,1.23,1.20,1.19,2.00,1.54,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,4,288,84,288,0,80.00,71.75
8/18/2017,04:45:00,148.69,50.29,8098.96,1.50,1.50,35.00,60.99,ON,32.00,83.03,55.00,54.98,52.7,82.20,81.69,60.52,2200,220,70.00,72.00,512,75.50,264,79.50,73.25,52.61,16369.96,1.50,1.51,55.00,60.42,62.96,60.65,61.61,32.00,84.50,55.00,54.91,43.1,1.21,1586.294067,1727.646973,596.823486,1727.646973,1.20,1.20,62.33,63.02,61.48,32.00,83.06,55.00,54.91,57.4,1.20,1.19,33.7,1.20,1.20,41.1,1.25,1.24,33.0,1.20,1.21,1.20,1.20,2.00,1.52,0,288,88,288,0,80.00,74.00,0,308,0,78.00,68.75,4,288,84,288,0,80.00,71.50
